target,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,AB1,AB2,AB3,AB4,AB5,u3,u6,Nd,FE,BG,firstIE,TF,v1,v2
3.30358,1.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,1.0,4.0,5.0,3.0,1.0,1.0,2.0,0.0625,0.0069444444444444,0.375,-1.58698591135375,2.1486750000000003,6.490695625000001,0.2842465753424658,0.0625,0.0208333333333333
1.17861,0.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,2.0,4.0,7.0,2.0,3.0,0.0,0.0,0.1875,0.0347222222222222,0.375,-1.58698591135375,2.1486750000000003,6.490695625000001,0.2842465753424658,0.0625,0.0486111111111111
3.95414,2.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,2.0,3.0,1.0,3.0,0.03125,0.03125,1.0,-1.341231602960833,2.6297500000000005,6.030525749000001,0.3167808219178082,0.03125,0.03125
4.98418,14.0,4.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-1.84999769994,2.1893,6.2736295,0.3219178082191781,0.015625,0.0
4.08872,2.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0,7.0,4.0,3.0,0.0,2.0,0.03125,0.03125,1.0,-1.341231602960833,2.6297500000000005,6.030525749000001,0.3167808219178082,0.03125,0.03125
2.09178,2.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,7.0,2.0,3.0,1.0,3.0,0.03125,0.09375,0.5,-1.5501721028566662,2.2197000000000005,6.611473500000001,0.3030821917808219,0.03125,0.03125
1.62803,3.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,5.0,4.0,3.0,1.0,3.0,0.09375,0.0,0.25,-1.3239741227675,2.1080500000000004,6.70776175,0.2465753424657534,0.03125,0.046875
2.60961,4.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,2.0,4.0,6.0,0.0,4.0,0.0,0.0,0.25,-1.3239741227675,2.1080500000000004,6.70776175,0.2465753424657534,0.046875,0.046875
1.84436,2.0,3.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,7.0,4.0,1.0,1.0,3.0,0.09375,0.0,0.25,-1.3239741227675,2.1080500000000004,6.70776175,0.2465753424657534,0.03125,0.046875
1.91492,0.0,0.0,0.0,0.0,1.0,7.0,2.0,2.0,1.0,3.0,4.0,3.0,2.0,2.0,1.0,0.0625,0.0069444444444444,0.375,-1.58698591135375,2.1486750000000003,6.490695625000001,0.2842465753424658,0.0625,0.0208333333333333
